Lemma-id	Grunnform	Funksjon	BOB-koder normerte	Normerte para-koder Nr2000
376	A	lemma	m	701
385	A/L	fork		
386	A/S	fork		
397	AV	fork	fork	1001
399	Ac	symb	symb	1004
400	Ag	symb	symb	1004
401	Al	symb	symb	1004
403	Am	symb	symb	1004
404	Ar	symb	symb	1004
405	As	symb	symb	1004
408	At	symb	symb	1004
409	Au	symb	symb	1004
410	B	lemma	m	701
421	Ba	symb	symb	1004
424	Be	symb	symb	1004
426	Bi	symb	symb	1004
427	Bk	symb	symb	1004
772	Zr	symb	symb	1004
773	a	lemma	prep	691
776	a	fork	fork	1001
777	a	symb	symb	1004
805	a.D.	fork	fork	1001
432	Bq	symb	symb	1004
433	Br	symb	symb	1004
436	C	lemma	m	701
441	C.	fork	fork	1001
447	Ca	symb	symb	1004
448	Cd	symb	symb	1004
449	Ce	symb	symb	1004
451	Cf	symb	symb	1004
452	Ci	symb	symb	1004
455	Cl	symb	symb	1004
456	Cm	symb	symb	1004
457	Co	symb	symb	1004
460	Cr	symb	symb	1004
461	Cs	symb	symb	1004
462	Cu	symb	symb	1004
463	D	lemma	m	701
467	D/S	tittel		
477	Dy	symb	symb	1004
478	E	lemma	m	701
495	Es	symb	symb	1004
498	Eu	symb	symb	1004
502	F	lemma	m	701
510	Fe	symb	symb	1004
514	Fm	symb	symb	1004
516	Fr	symb	symb	1004
517	G	lemma	m	701
524	Ga	symb	symb	1004
526	Gd	symb	symb	1004
531	Gy	symb	symb	1004
532	H	lemma	m	701
550	He	symb	symb	1004
551	Hf	symb	symb	1004
552	Hg	symb	symb	1004
554	Ho	symb	symb	1004
556	I	lemma	m	701
557	I	lemma	pron	45A 45B
558	I	symb	symb	1004
561	In	symb	symb	1004
562	Ir	symb	symb	1004
563	J	lemma	m	701
565	K	lemma	m	701
566	K/S	fork		
569	Kr	symb	symb	1004
570	L	lemma	m	701
577	La	symb	symb	1004
579	Li	symb	symb	1004
580	Lr	symb	symb	1004
582	Lu	symb	symb	1004
583	M	lemma	m	701
584	M	symb	symb	1004
585	M/S	tittel		
586	M/T	tittel		
590	MS	fork	fork	1001
597	Mg	symb	symb	1004
600	Mn	symb	symb	1004
601	Mo	symb	symb	1004
603	Mt	symb	symb	1004
604	N	lemma	m	701
614	Na	symb	symb	1004
615	Nato	fork	fork	1001
617	Nb	symb	symb	1004
618	Ne	symb	symb	1004
620	Ni	symb	symb	1004
621	No	symb	symb	1004
623	Np	symb	symb	1004
624	O	lemma	m	701
627	Oe	symb	symb	1004
630	Os	symb	symb	1004
632	P	lemma	m	701
643	Pa	symb	symb	1004
647	Pb	symb	symb	1004
648	Pd	symb	symb	1004
649	Per	lemma	m1	700
651	Pf	fork	fork	1001
653	Pfg	fork	fork	1001
654	Pm	symb	symb	1004
655	Po	symb	symb	1004
656	Pr	symb	symb	1004
657	Pt	symb	symb	1004
658	Pu	symb	symb	1004
659	Q	lemma	m	701
661	R	lemma	m	701
662	Ra	symb	symb	1004
663	Rb	symb	symb	1004
664	Re	symb	symb	1004
665	Rh	symb	symb	1004
667	Rn	symb	symb	1004
668	Ru	symb	symb	1004
669	S	lemma	m	701
670	S/S	tittel		
675	Sa	symb	symb	1004
678	Sb	symb	symb	1004
679	Sc	symb	symb	1004
680	Se	symb	symb	1004
682	Si	symb	symb	1004
684	Sn	symb	symb	1004
685	Sr	symb	symb	1004
687	Sv	symb	symb	1004
689	T	lemma	m	701
702	T/S	tittel		
722	Ta	symb	symb	1004
723	Tb	symb	symb	1004
724	Tc	symb	symb	1004
725	Te	symb	symb	1004
727	Th	symb	symb	1004
729	Tl	symb	symb	1004
730	Tm	symb	symb	1004
731	U	lemma	m	701
739	V	lemma	m	701
760	W	lemma	m	701
764	X	lemma	m	701
765	Xe	symb	symb	1004
766	Y	lemma	m	701
767	Yb	symb	symb	1004
768	Z	lemma	m	701
769	Zn	symb	symb	1004
315	-sten	suff	m1	700
1183	agric.	fork	fork	1001
865	absentia	lemma	subst	999
872	absolutt	lemma	n3	800 801 810 811
933	adb	fork	fork	1001
1689	all slags	uttr	a3	513
1726	allhær	lemma	m1	700
3174	arild	lemma	subst	999
3418	as	lemma	n1	800 810
3582	at	lemma	adv	695
3974	av vegen	uttr		
3976	av veien	uttr		
5445	barnsbein	lemma	subst	890
5446	barnsben	lemma	subst	890
5316	bare	lemma	v1	001 010 011
5568	baste	lemma	v1	001 010 011
5661	bede	lemma	v	159
5685	bedre	lemma	a3	513
6033	beknip	lemma	subst	999
6383	bero	lemma	subst	999
11112	de	lemma	det	48D
11113	de	lemma	det	48D
11114	de	lemma	prep	691
13070	duplo	lemma		
13092	dus	lemma	subst	999
11450	den	lemma	det	481
11452	den slags	uttr	a3	513
11512	der nede	uttr	adv	695
11514	der ute	uttr	adv	695
11956	direkten	lemma	m	791
14324	eldre	lemma	a3	513
12063	disse	lemma	f1#m1	702 902
13794	ei	lemma	pron	465
11647	detail	lemma	subst	999
12119	ditt	lemma	det	49E
12120	ditten	lemma	det	49E
13904	eining	lemma	f1#m1	700 900
13938	ekg	fork		
12225	do	lemma	m	701
13402	døde	lemma	v1	001 010 011
13568	e	symb	symb	1004
12507	drage	lemma		
12524	drages	lemma		
13590	edb	fork	fork	1001
13600	edder	lemma	m1#n	700 800
11316	dele	lemma	n2	802 812
10919	dann	lemma	adv	695
12924	duce	lemma	subst	999
11034	datt	lemma		
11035	datten	lemma		
10333	cand.	fork	fork	1001
10383	cd	symb	symb	1004
8501	brakar	lemma	m1	700
8254	borg	lemma	subst	999
10637	cp	fork	fork	1001
8613	brast	lemma	subst	999
6813	bidig	lemma	a2	518
10557	co.	fork	fork	1001
10600	contra	lemma	prep	691
7530	bli	lemma	v	175 176
6947	bildille	lemma	f1#m1	702 902
8820	breste	lemma		
7621	blive	lemma	v	177 178
7635	blodet	lemma	a2	518
8931	briste	lemma	v	271 272
9482	budskapsdag	lemma	m1	700
9618	bulter	lemma	subst	999
7897	bløt	lemma	subst	999
7918	bløyt	lemma	subst	999
7930	bo	lemma	subst	999
7346	blaff	lemma	m1	700
18368	folkemunn	lemma	m1	700
21509	fund	lemma	subst	999
18826	forfjor	lemma	subst	999
18907	forgårs	lemma	subst	999
21175	frisk	lemma	subst	790
18914	forhand	lemma	subst	999
21266	fromme	lemma	subst	999
17993	flt.	fork	fork	1001
18041	fly	lemma	adv	695
18453	for	lemma	adv#fork	1001 695
18456	for at	uttr	sub	693
18514	forbifart	lemma	m1	700
20015	forveg	lemma	m1	700
20016	forvei	lemma	m1	700
16606	fengslig	lemma	a2	518
16634	ferde	lemma	subst	999
15714	fa	lemma	m	701
15969	famne	lemma		
15738	face	lemma		
17785	fleng	lemma	subst	999
14381	eleison	lemma		
15029	ep	lemma	m	701
17511	fjor	lemma	subst	999
16305	favne	lemma	v1	001 010 011
15213	ert	lemma	subst	999
14663	en masse	uttr	adv	695
14665	en profil	uttr	adv	695
14666	en suite	uttr	adv	695
16353	fei	lemma	subst	790
16363	feil	lemma	adv	695
14708	ender	lemma	adv	695
16446	felles	lemma	subst	999
16908	filetere	lemma	v2	020
16919	filiokus	lemma	interj	694
14864	ening	lemma	f1#m1	700 900
26005	handhelse	lemma		
26014	handhilse	lemma	v2	020
28976	hundretusenvis	lemma	adv	695
28977	hundrevis	lemma	adv	695
27849	hipp	lemma	subst	999
26238	happ	lemma	subst	999
27917	hjel	lemma	subst	999
26348	hartkorn	lemma	subst	999
28714	hu	lemma	m1	700
27010	hekt	lemma	f1#m1	700 900
27022	hel	lemma	subst	999
27050	hele	lemma	f1#m1	702 902
28789	hui	lemma	subst	790
28794	huk	lemma	subst	999
28874	hulter	lemma	adv	695
27157	helse	lemma		
25380	går	lemma	subst	999
25431	gåre	lemma	v1	001 010 011
27327	henblikk	lemma	subst	890
27330	hende	lemma	n3	802 804 812 814
27331	hende	lemma	subst	999
25804	halvt	lemma	m1	700
25598	hal	lemma	subst	790
27764	hils	lemma	subst	999
27765	hilse	lemma	v2	020
24594	gros	lemma		
22942	gir	lemma	m1	700
23225	gjerde	lemma	subst	999
23000	gjeld	lemma	a1#a2	507 518
23296	gjære	lemma	subst	999
23385	gjøren	lemma	subst	790
23394	gjørs	lemma	subst	999
23395	gjørs	lemma	v	427
23404	glad	lemma	n1	800 810
23453	glasere	lemma	v2	020
21754	fæle	lemma	v2	020
21759	færre	lemma	a3	513
21760	færrest	lemma	a2	518
23521	glassere	lemma		
23599	gle	lemma		
23601	glede	lemma	v1#v3	001 010 011 030
23630	glemme	lemma	subst	999
23632	glemmebok	lemma	f#m	769 952
21887	før enn	uttr	sub	693
21899	førehand	lemma	subst	999
23766	glø	lemma		
23769	gløde	lemma	v1#v3	001 010 011 030
23778	glømme	lemma	subst	999
23780	glømmebok	lemma	f#m	769 952
22003	føye	lemma	subst	999
22013	g.	fork	fork	1001
22014	g.	fork	fork	1001
23819	gnike	lemma		
23822	gnikke	lemma	v1	001 010 011
33404	kak	lemma	m1	700
35050	kjære	lemma	v2	020
33712	kan	lemma		
33731	kanari	lemma	subst	999
35874	knapt	lemma	adv	695
33869	kapp	lemma	subst	999
36263	kole	lemma	v1	001 010 011
33207	jun.	fork	fork	1001
33239	juris	lemma	subst	999
29779	håret	lemma	a2	518
30524	ibid.	fork	fork	1001
32633	jamt over	uttr	adv	695
30659	ikke	lemma	m#m1	702 716
30704	ilde	lemma	v1	001 010 011
31044	indre	lemma	subst	890
32443	ist	lemma		
32874	jevnt over	uttr	adv	695
29031	hurten	lemma	m	791
32895	jo	lemma	m1	700
31226	inklusiv	lemma	a1	507
29857	høgd	lemma	f1#m1	700 900
29860	høgde	lemma	f1#m1	702 902
29176	hutaheiti	lemma	subst	999
31251	inn i	uttr	prep	691
31252	inn til	uttr	prep	691
29938	høgoktanbensin	lemma	m1	700
29942	høgre	lemma	a3	513
29264	hvi	lemma	adv	695
31788	innstevne	lemma	v1#v2	001 010 011 020
30039	høgtidsfull	lemma	a1	507
31415	innerst	lemma	m1	700
31418	innerste	lemma	subst	890
30115	hør	lemma	interj	694
30116	hør	lemma	subst	999
30193	høyde	lemma	subst	999
30212	høye	lemma	v1	001 010 011
29554	hytt	lemma	subst	999
30383	høytidsfull	lemma	a1	507
30395	høytlønt	lemma	a2	518
